ds,yhat,yhat_lower,yhat_upper
2020-08-12,94.81844962808468,87.62664455779168,102.89148383200002
2020-08-13,95.17093497900599,88.51076593727001,101.79829127962081
2020-08-14,95.56315056771244,88.65655064455171,102.28273919661929
2020-08-15,95.77546986433772,88.74267073001097,103.01528109436184
2020-08-16,95.97156133298797,88.58276037655628,102.96472533492381
2020-08-17,96.14560068725255,88.95821651039584,103.18487101909477
2020-08-18,96.55201549249686,90.02133810213748,103.77416418657587
2020-08-19,96.85511297626128,90.10838608441478,103.84050635058648
2020-08-20,97.06258773826224,90.28859670052121,104.20811317097622
2020-08-21,97.27697449421652,89.46811427418689,104.42615833758084
2020-08-22,97.28341285131525,89.96000135837235,104.28564507317006
2020-08-23,97.2509702618602,89.82651835411099,104.62060137369083
2020-08-24,97.17970732221198,89.97754955314872,104.42200037397531
2020-08-25,97.33026318772764,90.55844126909808,104.80381504413566
2020-08-26,97.37331643667497,90.29948364135393,104.35190192490616
2020-08-27,97.32292276291999,90.69505122562039,104.53334848196448
2020-08-28,97.28779940214775,90.01344403858145,104.59142233309224
2020-08-29,97.05892800520867,89.68270149885205,103.89936206798997
2020-08-30,96.81072663032946,89.79730848998287,104.32708652087803
2020-08-31,96.54797922565892,89.26685154198726,103.58204498021006
2020-09-01,96.53530413476476,89.12385178252686,103.28395201259717
2020-09-02,96.44652016906151,89.58754737099302,103.72128778004998
2020-09-03,96.29791419395666,89.01652493633449,103.76644458785607
2020-09-04,96.19948198225154,89.32882965539805,102.99354494659124
2020-09-05,95.94251512533103,88.32373312087289,102.27335788567578
2020-09-06,95.70078494785267,88.29639944677574,102.74655898742947
2020-09-07,95.47751126052545,88.55296976589732,102.93076123502468
2020-09-08,95.53489615171132,88.34703294591554,103.00932921363064
2020-09-09,95.54357927385593,88.74940106542041,102.88447072047663
2020-09-10,95.51601578864607,87.93882555570326,102.67987215168753
2020-09-11,95.5578453280791,88.6202731340079,102.57193426881908
2020-09-12,95.4556208517428,89.11079552061233,102.53267359807742
2020-09-13,95.37814403659812,88.2697685233046,102.52212432427989
2020-09-14,95.3235904518391,87.72888233761326,102.94448324191231
2020-09-15,95.54919999980982,88.34994444414122,102.2608862947817
2020-09-16,95.72088436039374,88.34490303003068,103.42947485268374
2020-09-17,95.84674802477763,88.86211208823825,102.88997109303502
2020-09-18,96.0285869736204,88.76886941897013,102.66140756751359
2020-09-19,96.04972998129165,88.57895637159476,103.10656857475314
2020-09-20,96.07646580324713,89.16527166035407,103.06723036063157
2020-09-21,96.10523674034957,89.24805556754168,103.24106720860746
2020-09-22,96.39237200565928,89.52056724425368,103.43021978587014
2020-09-23,96.60371134154825,88.91834883304702,103.8706552573732
2020-09-24,96.74811498940069,89.90284864201367,103.84325982530243
2020-09-25,96.92892440571038,89.65158108275271,104.10487643808506
2020-09-26,96.93173985978508,89.51062100181001,103.23218635993084
2020-09-27,96.92576010674614,89.82918750124027,103.91471590500282
2020-09-28,96.91086729443,89.51797759279516,104.14630690408075
2020-09-29,97.14723384629781,89.73958123063885,103.9083809072804
2020-09-30,97.30480564051818,90.80516428200787,104.9349750868605
2020-10-01,97.39666196258584,89.8664494711326,104.3837460630425
2020-10-02,97.53032095937931,90.43215151051533,104.55529504207044
2020-10-03,97.49536213971923,90.444114438359,105.02069254885464
2020-10-04,97.46461537080027,89.86351340237219,104.46973914130666
2020-10-05,97.44110457489515,90.27543954513574,104.77702120706557
2020-10-06,97.68752731017521,90.70190414006825,104.67966775577452
2020-10-07,97.87562867631449,91.18113356041503,105.38427683588706
2020-10-08,98.01947357778103,90.85932080160231,105.62466647115068
2020-10-09,98.22668937080769,90.76719095574417,105.3934805632491
2020-10-10,98.28605213402723,91.59443781523109,104.98804571536307
2020-10-11,98.36866811937828,91.59050803908019,105.55624989730552
2020-10-12,98.47493896891184,91.10031285467785,105.22903953819912
2020-10-13,98.86409176307745,91.8651418495714,105.75160498850681
2020-10-14,99.20363130421295,91.78442274456171,106.45858417813805
2020-10-15,99.5027167956355,92.61893555168184,106.23090657476783
2020-10-16,99.86353228192081,93.13787354641805,106.74580678717855
2020-10-17,100.06902071300128,93.20091688300433,107.2091176082439
2020-10-18,100.28422918630476,93.269612128544,107.89469066666793
2020-10-19,100.50344943576485,93.17998733062701,107.21725080478893
2020-10-20,100.97992972806738,94.03306313594517,108.05834158387118
2020-10-21,101.37551041423892,94.07487497216674,108.80027299679519
2020-10-22,101.6941800368561,94.42477324662069,108.02858655584375
2020-10-23,102.0336161436069,94.97384119747991,108.94717204711473
2020-10-24,102.17307564967285,95.03949282383454,109.53492294237203
2020-10-25,102.27487762214699,95.27326559783474,109.13756597728917
2020-10-26,102.33165834935664,95.00350173199149,109.30933029423184
